
> wedding-rsvp@0.0.0 server
> node server/index.js

Server running on http://localhost:3000
MongoDB Connected: 127.0.0.1
Seeding Check Complete.
[2026-03-28T10:40:05.314Z] GET /api/users
[2026-03-28T10:40:05.318Z] GET /api/guests
[2026-03-28T10:40:05.327Z] GET /api/rsvps
[2026-03-28T10:40:37.478Z] GET /api/content/events
[2026-03-28T10:40:37.486Z] GET /api/content/moments
[2026-03-28T10:40:37.487Z] GET /api/content/gallery
[2026-03-28T10:40:37.488Z] GET /api/content/home_data
[2026-03-28T10:40:37.489Z] GET /api/content/contact_data
[2026-03-28T10:40:37.490Z] GET /api/content/stories
[2026-03-28T10:40:37.504Z] GET /api/content/family_people
[2026-03-28T10:40:37.505Z] GET /api/content/family_families
[2026-03-28T10:40:37.506Z] GET /api/content/family_links
[2026-03-28T10:40:37.507Z] GET /api/rsvps
[2026-03-28T10:40:37.508Z] GET /api/content/groom_family_people
[2026-03-28T10:40:37.511Z] GET /api/content/groom_family_families
[2026-03-28T10:40:37.511Z] GET /api/content/groom_family_links
[2026-03-28T10:40:37.512Z] GET /api/content/gallery
[2026-03-28T10:40:37.513Z] GET /api/content/events
[2026-03-28T10:40:37.514Z] GET /api/content/stories
[2026-03-28T10:40:37.514Z] GET /api/content/moments
[2026-03-28T10:40:37.516Z] GET /api/content/contact_data
[2026-03-28T10:40:37.516Z] GET /api/content/home_data
[2026-03-28T10:40:37.516Z] GET /api/content/family_people
[2026-03-28T10:40:37.517Z] GET /api/content/family_families
[2026-03-28T10:40:37.518Z] GET /api/content/family_links
[2026-03-28T10:40:37.519Z] GET /api/content/groom_family_people
[2026-03-28T10:40:37.520Z] GET /api/content/groom_family_families
[2026-03-28T10:40:37.520Z] GET /api/content/groom_family_links
[2026-03-28T10:40:37.526Z] GET /api/rsvps
[2026-03-28T10:40:42.201Z] GET /api/rsvps
[2026-03-28T10:40:42.207Z] GET /api/users
[2026-03-28T10:40:42.210Z] GET /api/guests
[2026-03-28T10:40:44.656Z] GET /api/users
[2026-03-28T10:40:44.657Z] GET /api/guests
[2026-03-28T10:40:44.659Z] GET /api/rsvps
[2026-03-28T10:40:47.289Z] POST /api/guests
[2026-03-28T10:40:47.319Z] GET /api/guests
[2026-03-28T10:40:47.319Z] GET /api/users
[2026-03-28T10:40:47.320Z] GET /api/rsvps
[2026-03-28T10:40:48.553Z] POST /api/users
[2026-03-28T10:40:48.562Z] GET /api/users
[2026-03-28T10:40:48.563Z] GET /api/guests
[2026-03-28T10:40:48.564Z] GET /api/rsvps
[2026-03-28T10:40:49.656Z] GET /api/users
[2026-03-28T10:40:49.657Z] GET /api/guests
[2026-03-28T10:40:49.659Z] GET /api/rsvps
[2026-03-28T10:40:55.296Z] GET /api/users
[2026-03-28T10:40:55.297Z] GET /api/guests
[2026-03-28T10:40:55.300Z] GET /api/rsvps
[2026-03-28T10:40:56.875Z] POST /api/login
[2026-03-28T10:41:00.296Z] GET /api/users
[2026-03-28T10:41:00.298Z] GET /api/guests
[2026-03-28T10:41:00.300Z] GET /api/rsvps
[2026-03-28T10:41:05.295Z] GET /api/users
[2026-03-28T10:41:05.297Z] GET /api/guests
[2026-03-28T10:41:05.299Z] GET /api/rsvps
[2026-03-28T10:41:10.296Z] GET /api/users
[2026-03-28T10:41:10.298Z] GET /api/guests
[2026-03-28T10:41:10.299Z] GET /api/rsvps
[2026-03-28T10:41:15.295Z] GET /api/users
[2026-03-28T10:41:15.296Z] GET /api/guests
[2026-03-28T10:41:15.298Z] GET /api/rsvps
[2026-03-28T10:41:16.104Z] POST /api/rsvp
[2026-03-28T10:41:20.296Z] GET /api/users
[2026-03-28T10:41:20.298Z] GET /api/guests
[2026-03-28T10:41:20.300Z] GET /api/rsvps
[2026-03-28T10:41:21.371Z] POST /api/login
[2026-03-28T10:41:25.295Z] GET /api/users
[2026-03-28T10:41:25.296Z] GET /api/guests
[2026-03-28T10:41:25.299Z] GET /api/rsvps
[2026-03-28T10:41:30.295Z] GET /api/users
[2026-03-28T10:41:30.297Z] GET /api/guests
[2026-03-28T10:41:30.299Z] GET /api/rsvps
[2026-03-28T10:41:35.296Z] GET /api/users
[2026-03-28T10:41:35.298Z] GET /api/guests
[2026-03-28T10:41:35.300Z] GET /api/rsvps
[2026-03-28T10:41:40.296Z] GET /api/users
[2026-03-28T10:41:40.297Z] GET /api/guests
[2026-03-28T10:41:40.300Z] GET /api/rsvps
[2026-03-28T10:41:45.297Z] GET /api/users
